"NFL","NFL68","bias"
"107","91","57"
"107","91","-1"
"107","91","-39"
"107","91","139"
"107","91","-14"
"107","91","-11"
"107","91","19"
"107","91","30"
"107","91","-398"
"107","91","7"
"107","91","-62"
"107","91","-45177"
"381","341","57"
"381","341","57"
"256","235","-1"
"134","120","-39"
"293","274","139"
"216","184","-14"
"241","213","-11"
"501","222","19"
"344","41","30"
"148","132","-398"
"216","180","7"
"485","202","-62"
"313","304","-45177"
"278","104","-19"
"112","97","-180"
"713","552","-103"
"103","75","-98"
"176","146","-1"
"242","212","24"
"192","177","212"
"477","147","-23"
"136","106","-287"
"479","126","52"
"684","128","48"
"207","168","-19"
"269","29","-11"
"110","87","-16"
"960","363","-2834"
"127","105","-182"
"102","93","-220"
"140","116","8"
"571","239","-63"
"299","176","47"
"1549","365","34"
"129","101","-19"
"291","265","85"
"250","216","13"
"221","194","-141"
"144","106","32"
"197","180","40"
"153","88","33"
"261","251","169"
"167","135","14"
"514","492","630"
"983","635","13"
"162","134","-54"
"223","198","-28"
"272","24","21"
"112","88","-61"
"141","66","47"
"125","16","5"
"109","20","54"
"168","147","-47737"
"273","258","29"
"156","147","289"
"605","372","-12"
"185","137","-59"
"176","123","-147"
"168","149","-519"
"161","149","-65"
"403","292","-3"
"337","296","-98"
"304","68","14"
"726","382","23"
"342","117","-39"
"259","214","58"
"835","365","25"
"249","21","51"
"224","218","5"
"131","95","-20"
"684","615","-186"
"258","239","-14"
"116","94","3"
"152","145","251"
"194","173","22"
"240","201","-5"
"216","142","3"
"293","89","-85"
"148","121","-114"
"581","32","9"
"188","167","-12"
"131","91","128"
"106","11","-1280"
"137","122","8"
"127","28","-61571"
"131","119","-36"
"140","97","78"
"172","130","-3"
"241","241","-991"
"146","143","134"
"358","320","-10"
"431","392","12"
"383","34","-34"
"250","217","-85"
"180","156","32"
"265","75","1"
"269","256","137"
"248","64","-16"
"489","174","33"
"223","182","-8"
"347","327","125"
"187","146","-2"
"162","142","-330"
"231","200","-85"
"1048","948","-229"
"318","283","-603"
"674","346","0"
"308","43","9"
"263","229","-48"
"383","311","-48"
"600","595","312"
"234","223","234"
"466","384","896"
"191","81","110"
"1618","1598","9"
"2724","2275","-27"
"439","398","1305"
"203","183","32"
"302","288","-737"
"177","159","-83"
"214","39","41"
"600","126","-1"
"101","64","98"
"1313","372","7"
"398","189","37"
"153","30","7"
"145","61","-62067"
"191","170","-58"
"116","82","303"
"1378","645","184"
"318","279","4"
"255","219","-93"
"153","119","-201"
"290","51","-77"
"487","351","47"
"254","61","295"
"100","68","-133"
"213","173","-11"
"130","65","-117"
"187","163","-343"
"289","266","-23"
"227","207","0"
"448","37","75"
"259","14","2"
"169","146","-85"
"464","343","106"
"755","127","-9"
"714","410","255"
"237","222","21"
"338","55","-13"
"198","175","-44"
"229","204","14"
"271","237","-60"
"125","31","-9"
"230","197","-314"
"291","49","25"
"134","123","-358"
"322","223","-122"
"157","124","-94"
"515","208","-39"
"515","303","58"
"383","269","-74"
"1130","660","92"
"280","20","-3477"
"289","253","-18"
"143","124","-19"
"251","211","-10"
"295","280","133"
"179","157","-146"
"173","152","355"
"174","154","-214"
"254","223","-33"
"1317","646","2471"
"234","215","-6"
"149","134","93"
"287","245","220"
"226","199","270"
"133","50","207"
"212","192","-27"
"124","20","450"
"138","116","-97"
"329","99","42"
"501","219","-46"
"248","225","262"
"212","192","-14"
"155","122","63995"
"167","131","-33"
"186","107","-6"
"215","20","-17"
"249","219","-34"
"524","36","-108"
"195","158","-37"
"227","210","-307"
"452","121","20"
"252","31","4"
"110","90","-493"
"240","216","-20"
"146","101","29"
"5497","2078","7"
"166","145","-44204"
"106","70","-6"
"164","153","-93"
"117","99","-72"
"427","103","49"
"303","287","15"
"137","122","-108"
"209","176","1"
"443","282","-94"
"102","81","24"
"154","129","-596"
"704","169","126"
"248","43","-12"
"323","280","-225"
"219","186","-53"
"159","144","-41"
"223","21","-76"
"426","181","80"
"131","24","-51"
"138","112","-139"
"185","170","-36"
"233","202","-17"
"341","104","1"
"197","178","-4"
"262","33","50"
"596","504","79"
"246","200","40"
"219","191","-49"
"233","214","1806"
"249","221","-210"
"150","43","499"
"393","107","-20"
"383","136","60"
"226","38","-3"
"305","121","-26"
"185","173","187"
"288","254","197"
"312","79","28"
"114","103","52"
"178","41","-50"
"176","37","-1"
"191","168","-58"
"166","35","12"
"119","96","-50"
"201","170","-367"
"101","11","-106"
"152","137","-176"
"175","30","-37"
"198","181","144"
"501","351","53"
"194","165","153"
"351","112","6"
"254","215","-19"
"218","182","98"
"117","97","-283"
"139","113","-82"
"219","183","-206"
"152","132","-195"
"104","83","-202"
"143","120","-46"
"145","77","-9"
"152","125","-7"
"252","245","232"
"116","76","-46"
"168","150","-38"
"124","111","74"
"358","68","119"
"424","180","274"
"227","25","-113"
"230","204","60"
"140","122","-132"
